,stock,cumulative_return,annual_return_percentage,annual_risk_percentage,Sharpe_Ratio
0,Close_amzn,504.69,40.585,30.111660201498935,1.3229094554546363
1,Close_msft,371.49,34.953,27.84304784574141,1.22842155030924
2,Close_aapl,322.74,33.318,29.73172055075787,1.0953957388507014
3,Close_fb,187.96,26.452,32.311293135564696,0.7954494390603662
4,Close_unh,167.36,23.72,28.273114431589505,0.8124326046774548
5,Close_goog,140.41,21.019,26.225301134420846,0.7728795904424078
6,Close_sp500,74.81,13.041,19.17650149419021,0.6409406848128024
7,Close_mrk,68.02,12.883,22.33058438853555,0.5433355343010657
8,Close_jnj,59.79,11.353,19.778133003975654,0.5360971127997098
9,Close_ms,53.49,14.554,34.62152930594205,0.3987114456446278
10,Close_rhhby,28.87,7.376,21.452996138136587,0.30886128712907773
11,Close_pfe,15.26,5.255,21.948310424061088,0.20525497921978275
12,Close_gs,14.17,7.644,31.588685160836164,0.21824270193262812
13,Close_luv,-2.37,6.164,36.37373468762223,0.14884366553216083
14,Close_ibm,-15.27,-0.043,25.53589804066495,0.03105432198770443
15,Close_dal,-32.66,1.054,42.032635542150075,0.007232475339195675
16,Close_algt,-45.04,-1.186,46.19618281659776,0.04190822448872155
17,Close_ha,-47.88,0.863,52.59500086489867,0.0021484931674450253
18,Close_wfc,-54.3,-10.441,32.30369831298721,0.34643092229166933
19,Close_alk,-54.34,-6.445,42.71340213989987,0.1684483005224942
20,Close_cs,-58.61,-11.005,36.2599315829738,0.3241870430202266
21,Close_bcs,-66.62,-13.819,39.874742170422024,0.36536913361679063
22,Close_db,-68.33,-13.327,44.0404517478246,0.3196379564997387
23,Close_aal,-68.65,-8.47,55.12395656231664,0.16725940180975502
24,Close_bhc,-91.35,-22.6,70.72211273630089,0.3301654757835692
